,"ClientDEF_R001002: DataLog Param, PV and Units",,,,,
,,,,,,
Time Stamp,,Parameter,,Process value,,Units
0.009,,pH,,5.99,,pH
0.009,,Pump1,,0,,%
0.009,,Pump2,,0,,%
0.009,,Temperature,,28.01,,DegC
0.026,,pH,,5.99,,pH
0.026,,Pump1,,0,,%
0.026,,Pump2,,0,,%
0.026,,Temperature,,28.02,,DegC
0.043,,pH,,5.99,,pH
0.043,,Pump1,,0,,%
0.043,,Pump2,,0,,%
0.043,,Temperature,,28.02,,DegC
0.059,,pH,,5.99,,pH
0.059,,Pump1,,0,,%
0.059,,Pump2,,0,,%
0.059,,Temperature,,28,,DegC
0.076,,pH,,5.99,,pH
0.076,,Pump1,,0,,%
0.076,,Pump2,,0,,%
0.076,,Temperature,,28.01,,DegC
0.093,,pH,,5.99,,pH
0.093,,Pump1,,0,,%
0.093,,Pump2,,0,,%
0.093,,Temperature,,28,,DegC
0.109,,pH,,5.99,,pH
0.109,,Pump1,,0,,%
0.109,,Pump2,,0,,%
0.109,,Temperature,,28,,DegC
0.126,,pH,,5.99,,pH
0.126,,Pump1,,0,,%
0.126,,Pump2,,0,,%
0.126,,Temperature,,27.99,,DegC
0.143,,pH,,5.99,,pH
0.143,,Pump1,,0,,%
0.143,,Pump2,,0,,%
0.143,,Temperature,,28.02,,DegC
0.159,,pH,,5.99,,pH
0.159,,Pump1,,0,,%
0.159,,Pump2,,0,,%
0.159,,Temperature,,28.02,,DegC
0.176,,pH,,5.99,,pH
0.176,,Pump1,,0,,%
0.176,,Pump2,,0,,%
0.176,,Temperature,,28,,DegC
0.193,,pH,,5.99,,pH
0.193,,Pump1,,0,,%
0.193,,Pump2,,0,,%
0.193,,Temperature,,28,,DegC
0.209,,pH,,5.99,,pH
0.209,,Pump1,,0,,%
0.209,,Pump2,,0,,%
0.209,,Temperature,,28.01,,DegC
0.226,,pH,,5.99,,pH
0.226,,Pump1,,0,,%
0.226,,Pump2,,0,,%
0.226,,Temperature,,28.01,,DegC
0.243,,pH,,5.99,,pH
0.243,,Pump1,,0,,%
0.243,,Pump2,,0,,%
0.243,,Temperature,,28,,DegC
0.259,,pH,,5.99,,pH
0.259,,Pump1,,0,,%
0.259,,Pump2,,0,,%
0.259,,Temperature,,28.01,,DegC
0.276,,pH,,5.99,,pH
0.276,,Pump1,,0,,%
0.276,,Pump2,,0,,%
0.276,,Temperature,,28,,DegC
0.293,,pH,,5.99,,pH
0.293,,Pump1,,0,,%
0.293,,Pump2,,0,,%
0.293,,Temperature,,27.99,,DegC
0.309,,pH,,5.99,,pH
0.309,,Pump1,,0,,%
0.309,,Pump2,,0,,%
0.309,,Temperature,,28,,DegC
0.326,,pH,,5.99,,pH
0.326,,Pump1,,0,,%
0.326,,Pump2,,0,,%
0.326,,Temperature,,27.98,,DegC
0.343,,pH,,6,,pH
0.343,,Pump1,,0,,%
0.343,,Pump2,,0,,%
0.343,,Temperature,,28.03,,DegC
0.359,,pH,,6,,pH
0.359,,Pump1,,0,,%
0.359,,Pump2,,0,,%
0.359,,Temperature,,28.02,,DegC
0.376,,pH,,5.99,,pH
0.376,,Pump1,,0,,%
0.376,,Pump2,,0,,%
0.376,,Temperature,,28.01,,DegC
0.393,,pH,,6,,pH
0.393,,Pump1,,0,,%
0.393,,Pump2,,0,,%
0.393,,Temperature,,28,,DegC
0.409,,pH,,5.99,,pH
0.409,,Pump1,,0,,%
0.409,,Pump2,,0,,%
0.409,,Temperature,,28,,DegC
0.426,,pH,,6,,pH
0.426,,Pump1,,0,,%
0.426,,Pump2,,0,,%
0.426,,Temperature,,28.01,,DegC
0.443,,pH,,6,,pH
0.443,,Pump1,,0,,%
0.443,,Pump2,,0,,%
0.443,,Temperature,,28,,DegC
0.459,,pH,,6,,pH
0.459,,Pump1,,0,,%
0.459,,Pump2,,0,,%
0.459,,Temperature,,28,,DegC
0.476,,pH,,6,,pH
0.476,,Pump1,,0,,%
0.476,,Pump2,,0,,%
0.476,,Temperature,,28,,DegC
0.493,,pH,,6,,pH
0.493,,Pump1,,0,,%
0.493,,Pump2,,0,,%
0.493,,Temperature,,28,,DegC
0.509,,pH,,6,,pH
0.509,,Pump1,,0,,%
0.509,,Pump2,,0,,%
0.509,,Temperature,,28.01,,DegC
0.526,,pH,,6,,pH
0.526,,Pump1,,0,,%
0.526,,Pump2,,0,,%
0.526,,Temperature,,28,,DegC
0.543,,pH,,6,,pH
0.543,,Pump1,,0,,%
0.543,,Pump2,,0,,%
0.543,,Temperature,,28,,DegC
0.559,,pH,,6,,pH
0.559,,Pump1,,0,,%
0.559,,Pump2,,0,,%
0.559,,Temperature,,28.02,,DegC
0.576,,pH,,6,,pH
0.576,,Pump1,,0,,%
0.576,,Pump2,,0,,%
0.576,,Temperature,,28.02,,DegC
0.593,,pH,,6,,pH
0.593,,Pump1,,0,,%
0.593,,Pump2,,0,,%
0.593,,Temperature,,28.01,,DegC
0.609,,pH,,6,,pH
0.609,,Pump1,,0,,%
0.609,,Pump2,,0,,%
0.609,,Temperature,,28,,DegC
0.626,,pH,,6,,pH
0.626,,Pump1,,0,,%
0.626,,Pump2,,0,,%
0.626,,Temperature,,28.01,,DegC
0.643,,pH,,6,,pH
0.643,,Pump1,,0,,%
0.643,,Pump2,,0,,%
0.643,,Temperature,,28,,DegC
0.659,,pH,,6,,pH
0.659,,Pump1,,0,,%
0.659,,Pump2,,0,,%
0.659,,Temperature,,28.01,,DegC
0.676,,pH,,6,,pH
0.676,,Pump1,,0,,%
0.676,,Pump2,,0,,%
0.676,,Temperature,,28,,DegC
0.693,,pH,,6,,pH
0.693,,Pump1,,100,,%
0.693,,Pump2,,0,,%
0.693,,Temperature,,28,,DegC
0.709,,pH,,6,,pH
0.709,,Pump1,,100,,%
0.709,,Pump2,,0,,%
0.709,,Temperature,,27.99,,DegC
0.726,,pH,,6,,pH
0.726,,Pump1,,100,,%
0.726,,Pump2,,0,,%
0.726,,Temperature,,28,,DegC
0.743,,pH,,6,,pH
0.743,,Pump1,,0,,%
0.743,,Pump2,,0,,%
0.743,,Temperature,,28.01,,DegC
0.759,,pH,,6,,pH
0.759,,Pump1,,0,,%
0.759,,Pump2,,0,,%
0.759,,Temperature,,28,,DegC
0.776,,pH,,6,,pH
0.776,,Pump1,,0,,%
0.776,,Pump2,,0,,%
0.776,,Temperature,,28,,DegC
0.793,,pH,,6,,pH
0.793,,Pump1,,0,,%
0.793,,Pump2,,0,,%
0.793,,Temperature,,28,,DegC
0.809,,pH,,6,,pH
0.809,,Pump1,,0,,%
0.809,,Pump2,,0,,%
0.809,,Temperature,,27.98,,DegC
0.826,,pH,,6,,pH
0.826,,Pump1,,0,,%
0.826,,Pump2,,0,,%
0.826,,Temperature,,28,,DegC
0.843,,pH,,6,,pH
0.843,,Pump1,,0,,%
0.843,,Pump2,,0,,%
0.843,,Temperature,,28.01,,DegC
0.859,,pH,,6,,pH
0.859,,Pump1,,0,,%
0.859,,Pump2,,0,,%
0.859,,Temperature,,28,,DegC
0.876,,pH,,6,,pH
0.876,,Pump1,,0,,%
0.876,,Pump2,,0,,%
0.876,,Temperature,,27.98,,DegC
0.893,,pH,,6,,pH
0.893,,Pump1,,0,,%
0.893,,Pump2,,0,,%
0.893,,Temperature,,27.98,,DegC
0.909,,pH,,6,,pH
0.909,,Pump1,,0,,%
0.909,,Pump2,,0,,%
0.909,,Temperature,,27.99,,DegC
0.926,,pH,,6,,pH
0.926,,Pump1,,0,,%
0.926,,Pump2,,0,,%
0.926,,Temperature,,28.01,,DegC
0.942,,pH,,6.01,,pH
0.942,,Pump1,,0,,%
0.942,,Pump2,,0,,%
0.942,,Temperature,,27.98,,DegC
0.959,,pH,,6,,pH
0.959,,Pump1,,0,,%
0.959,,Pump2,,0,,%
0.959,,Temperature,,28,,DegC
0.976,,pH,,6.01,,pH
0.976,,Pump1,,0,,%
0.976,,Pump2,,0,,%
0.976,,Temperature,,27.99,,DegC
0.993,,pH,,6.01,,pH
0.993,,Pump1,,0,,%
0.993,,Pump2,,0,,%
0.993,,Temperature,,28,,DegC
1.009,,pH,,6.01,,pH
1.009,,Pump1,,0,,%
1.009,,Pump2,,0,,%
1.009,,Temperature,,27.99,,DegC
1.026,,pH,,6.01,,pH
1.026,,Pump1,,0,,%
1.026,,Pump2,,0,,%
1.026,,Temperature,,27.98,,DegC
1.043,,pH,,6.01,,pH
1.043,,Pump1,,0,,%
1.043,,Pump2,,0,,%
1.043,,Temperature,,28,,DegC
1.059,,pH,,6.01,,pH
1.059,,Pump1,,0,,%
1.059,,Pump2,,0,,%
1.059,,Temperature,,27.99,,DegC
1.076,,pH,,6.01,,pH
1.076,,Pump1,,0,,%
1.076,,Pump2,,0,,%
1.076,,Temperature,,28.02,,DegC
1.093,,pH,,6.01,,pH
1.093,,Pump1,,0,,%
1.093,,Pump2,,0,,%
1.093,,Temperature,,28,,DegC
1.109,,pH,,6.01,,pH
1.109,,Pump1,,0,,%
1.109,,Pump2,,0,,%
1.109,,Temperature,,28,,DegC
1.126,,pH,,6.01,,pH
1.126,,Pump1,,0,,%
1.126,,Pump2,,0,,%
1.126,,Temperature,,27.99,,DegC
1.143,,pH,,6.01,,pH
1.143,,Pump1,,0,,%
1.143,,Pump2,,0,,%
1.143,,Temperature,,28.01,,DegC
1.159,,pH,,6.01,,pH
1.159,,Pump1,,0,,%
1.159,,Pump2,,0,,%
1.159,,Temperature,,28,,DegC
1.176,,pH,,6.01,,pH
1.176,,Pump1,,0,,%
1.176,,Pump2,,0,,%
1.176,,Temperature,,28,,DegC
1.193,,pH,,6.01,,pH
1.193,,Pump1,,0,,%
1.193,,Pump2,,0,,%
1.193,,Temperature,,28,,DegC
1.209,,pH,,6.01,,pH
1.209,,Pump1,,0,,%
1.209,,Pump2,,0,,%
1.209,,Temperature,,28.01,,DegC
1.226,,pH,,6.01,,pH
1.226,,Pump1,,0,,%
1.226,,Pump2,,0,,%
1.226,,Temperature,,28.02,,DegC
1.243,,pH,,6.01,,pH
1.243,,Pump1,,0,,%
1.243,,Pump2,,0,,%
1.243,,Temperature,,28.01,,DegC
1.259,,pH,,6.01,,pH
1.259,,Pump1,,0,,%
1.259,,Pump2,,0,,%
1.259,,Temperature,,28.01,,DegC
1.276,,pH,,6.01,,pH
1.276,,Pump1,,0,,%
1.276,,Pump2,,0,,%
1.276,,Temperature,,27.99,,DegC
1.293,,pH,,6.01,,pH
1.293,,Pump1,,0,,%
1.293,,Pump2,,0,,%
1.293,,Temperature,,27.98,,DegC
1.309,,pH,,6.01,,pH
1.309,,Pump1,,0,,%
1.309,,Pump2,,0,,%
1.309,,Temperature,,28,,DegC
1.326,,pH,,6.01,,pH
1.326,,Pump1,,0,,%
1.326,,Pump2,,0,,%
1.326,,Temperature,,28,,DegC
1.343,,pH,,6.01,,pH
1.343,,Pump1,,0,,%
1.343,,Pump2,,0,,%
1.343,,Temperature,,28,,DegC
1.359,,pH,,6.01,,pH
1.359,,Pump1,,0,,%
1.359,,Pump2,,0,,%
